Film Adı;IMDb Puanı;Oy Sayısı;Yönetmen;Yazar;Tür;Bütçe;Ülke;Yorum Sayısı;Çıkış Yılı;Film Süresi;;;;
Esaretin Bedeli;9,03;3000000;Frank Darabont;Stephen King;Epic;$25,000,000 ;United States;11.400;1994;2h 22m;;;;
Baba;9,02;2100000;Francis Ford Coppola;Mario Puzo;Epic;$6,000,000 ;United States;5.800;1972;2h 55m;;;;
Kara Şövalye;9;3000000;Christopher Nolan;Jonathan Nolan;Epic;$185,000,000 ;United States;9000;2008;2h 32m;;;;
Baba 2;9;1400000;Francis Ford Coppola;Francis Ford Coppola;Epic;$13,000,000 ;United States;1.400;1974;3h 22m;;;;
12 Öfkeli Adam;9;912000;Sidney Lumet;Reginald Rose;Drama;$350,000 ;United States;2.200;1957;1h 36m;;;;
Yüzüklerin Efendisi: Kralın Dönüşü;9;2100000;Peter Jackson;J.R.R. Tolkien;Epic;$94,000,000 ;New Zealand;4.300;2003;3h 21m;;;;
Schindler'in Listesi;9;1500000;Steven Spielberg;Thomas Keneally;Drama;$22,000,000 ;United States;2.300;1993;3h 15m;;;;
Ucuz Roman;8,09;2300000;Quentin Tarantino;Quentin Tarantino;Comedy;$8,000,000 ;United States;3.700;1994;2h 34m;;;;
Yüzüklerin Efendisi: Yüzük Kardeşliği;8,09;2100000;Peter Jackson;J.R.R. Tolkien;Epic;$93,000,000 ;New Zealand;5.900;2001;2h 58m;;;;
İyi Kötü ve Çirkin;8,09;844000;Sergio Leone;Luciano Vincenzoni;Epic;$1,200,000 ;Italy;1.400;1966;2h 41m;;;;
Forrest Gump;8,08;2400000;Robert Zemeckis;Winston Groom;Epic;$55,000,000 ;United States;3.300;1994;2h 22m;;;;
Yüzüklerin Efendisi: İki Kule;8,08;1900000;Peter Jackson;J.R.R. Tolkien;Epic;$94,000,000 ;New Zealand;2.800;2002;2h 59m;;;;
Dövüş Kulübü;8,08;2400000;David Fincher;Chuck Palahniuk;Drama;$63,000,000 ;Germany;4.600;1999;2h 19m;;;;
Başlangıç;8,08;2700000;Christopher Nolan;Christopher Nolan;Epic;$160,000,000 ;United States;4.900;2010;2h 28m;;;;
Yıldız Savaşları: İmparator;8,07;1400000;Irvin Kershner;Leigh Brackett;Epic;$18,000,000 ;United States;1.500;1980;2h 4m;;;;
Matrix;8,07;2100000;Lana Wachowski;Lilly Wachowski;Epic;$63,000,000 ;United States;5.100;1999;2h 16m;;;;
Sıkı Dostlar;8,07;1300000;Martin Scorsese;Nicholas Pileggi;Drama;$25,000,000 ;United States;1.700;1990;2h 25m;;;;
Guguk Kuşu;8,07;1100000;Milos Forman;Lawrence Hauben;Drama;$3,000,000 ;United States;1.200;1975;2h 13m;;;;
Yıldızlararası;8,07;2300000;Christopher Nolan;Jonathan Nolan;Epic;$165,000,000 ;United States;6.500;2014;2h 49m;;;;
Yedi;8,06;1900000;David Fincher;Andrew Kevin Walker;Drama;$33,000,000 ;United States;200;1995;2h 7m;;;;
Şahane Hayat;8,06;523000;Frank Capra;Frances Goodrich;Romance;$3,180,000 ;United States;1.300;1946;2h 10m;;;;
Yedi Samuray: Kanlı Pirinç;8,06;380000;Akira Kurosawa;Akira Kurosawa;Epic;¥125,000,000 ;Japan;880;1954;3h 27m;;;;
Kuzuların Sessizliği;8,06;1600000;Jonathan Demme;Thomas Harris;Police Procedural;$19,000,000 ;United States;1.700;1991;1h 58m;;;;
Er Ryan'ı Kurtarmak;8,06;1600000;Steven Spielberg;Robert Rodat;Epic;$70,000,000 ;United States;300;1998;2h 49m;;;;
Tanrı Kent;8,06;830000;Fernando Meirelles;Bráulio Mantovani;Caper;R$3,300,000 ;Brazil;1.200;2002;2h 10m;;;;
Yeşil Yol;8,06;1500000;Frank Darabont;Stephen King;Drama;$60,000,000 ;United States;2.200;1999;3h 9m;;;;
Hayat Güzeldir;8,06;770000;Roberto Benigni;Vincenzo Cerami;Drama;ITL 15,000,000,000 ;Italy;1.500;1997;1h 56m;;;;
Terminatör 2: Mahşer Günü;8,06;1200000;James Cameron;James Cameron;Epic;$102,000,000 ;United States;1.600;1991;2h 17m;;;;
Yıldız Savaşları: Bölüm IV - Yeni Bir Umut;8,06;1500000;George Lucas;George Lucas;Epic;$11,000,000 ;United States;2.100;1977;2h 1m;;;;
Geleceğe Dönüş;8,05;1400000;Robert Zemeckis;Robert Zemeckis;Comedy;$19,000,000 ;United States;1.600;1985;1h 56m;;;;
Ruhların Kaçışı;8,06;896000;Hayao Miyazaki;Hayao Miyazaki;Anime;$19,000,000 ;Japan;1.700;2001;2h 4m;;;;
Piyanist;8,05;956000;Roman Polanski;Ronald Harwood;Drama;$35,000,000 ;France;1.100;2002;2h 30m;;;;
Gladyatör;8,05;1700000;Ridley Scott;David Franzoni;Epic;$103,000,000 ;United States;3.100;2000;2h 35m;;;;
Parazit;8,05;1000000;Bong Joon Ho;Bong Joon Ho;Comedy;$11,400,000 ;South Korea;3.600;2019;2h 12m;;;;
Sapık;8,05;746000;Alfred Hitchcock;Joseph Stefano;Comedy;$806,947 ;United States;1.600;1960;1h 49m;;;;
Aslan Kral;8,05;1200000;Roger Allers;Irene Mecchi;Adventure;$45,000,000 ;United States;1.200;1994;1h 28m;;;;
Ateşböceklerinin Mezarı;8,05;340000;Isao Takahata;Akiyuki Nosaka;Animation;$3,700,000 ;Japan;1000;1988;1h 28m;;;;
Köstebek;8,05;1500000;Martin Scorsese;William Monahan;Drama;$90,000,000 ;United States;2.600;2006;2h 31m;;;;
Whiplash;8,05;1100000;Damien Chazelle;Damien Chazelle;Drama;$3,300,000 ;United States;1.800;2014;1h 46m;;;;
Seppuku;8,06;78000;Masaki Kobayashi;Yasuhiko Takiguchi;Drama;Bilinmiyor;Japan;347;1962;2h 13m;;;;
Geçmişin Gölgesinde;8,05;1200000;Tony Kaye;David McKenna;Drama;$20,000,000 ;United States;1.700;1998;1h 59m;;;;
Prestij;8,05;1500000;Christopher Nolan;Jonathan Nolan;Drama;$40,000,000 ;United Kingdom;1.800;2006;2h 10m;;;;
Sevginin Gücü;8,05;1300000;Luc Besson;Luc Besson;Gangster;$16,000,000 ;France;1.500;1994;1h 50m;;;;
Örümcek-Adam: Örümcek Evrenine Geçiş;8,05;437000;Joaquim Dos Santos;Phil Lord;Animation;$150,000,000 ;United States;1.600;2023;2h 20m;;;;
Casablanca;8,05;626000;Michael Curtiz;Julius J. Epstein;Drama;$950,000 ;United States;1.600;1942;1h 42m;;;;
Olağan Şüpheliler;8,05;1200000;Bryan Singer;Christopher McQuarrie;Caper;$6,000,000 ;United States;1.500;1995;1h 46m;;;;
Can Dostum;8,05;967000;Olivier Nakache;Olivier Nakache;Drama;€9,500,000 ;France;909;2011;1h 52m;;;;
Cennet Sineması;8,05;298000;Giuseppe Tornatore;Giuseppe Tornatore;Coming-of-Age;$5,000,000 ;Italy;676;1988;2h 54m;;;;
Asri Zamanlar;8,05;270000;Charles Chaplin;Charles Chaplin;Comedy;$1,500,000 ;United States;403;1936;1h 27m;;;;
Yaratık;8,05;1000000;Ridley Scott;Dan O'Bannon;Cyberpunk;$11,000,000 ;United Kingdom;1.900;1979;1h 57m;;;;
Arka Pencere;8,05;541000;Alfred Hitchcock;John Michael Hayes;Thriller;$1,000,000 ;United States;1000;1954;1h 52m;;;;
Batıda Kan Var;8,05;364000;Sergio Leone;Sergio Donati;Adventure;$5,000,000 ;Italy;899;1968;2h 46m;;;;
Zincirsiz;8,05;1800000;Quentin Tarantino;Quentin Tarantino;Comedy;$100,000,000 ;United States;1.900;2012;2h 45m;;;;
Şehir Işıkları;8,05;205000;Charles Chaplin;Charles Chaplin;Romance;$1,500,000 ;United States;391;1931;1h 27m;;;;
Dune: Çöl Gezegeni Bölüm İki;8,05;599000;Denis Villeneuve;Denis Villeneuve;Epic;$190,000,000 ;United States;2.600;2024;2h 46m;;;;
Kıyamet;8,05;735000;Francis Ford Coppola;John Milius;Epic;$31,500,000 ;United States;1.400;1979;2h 27m;;;;
Akıl Defteri;8,05;1400000;Christopher Nolan;Christopher Nolan;Thriller;$9,000,000 ;United States;2.500;2000;1h 53m;;;;
VOL·i;8,05;1200000;Andrew Stanton;Andrew Stanton;Epic;$180,000,000 ;United States;1.500;2008;1h 38m;;;;
Kutsal Hazine Avcıları;8,04;1100000;Steven Spielberg;Lawrence Kasdan;Epic;$18,000,000 ;United States;1.200;1981;1h 55m;;;;
Başkalarının Hayatı;8,04;424000;Florian Henckel von Donnersmarck;Florian Henckel von Donnersmarck;Thriller;$2,000,000 ;Germany;599;2006;2h 17m;;;;
Yenilmezler: Sonsuzluk Savaşı;8,04;1300000;Anthony Russo;Christopher Markus;Sci-Fi;$321,000,000 ;United States;4.600;2018;2h 29m;;;;
Sunset Bulvarı;8,04;247000;Billy Wilder;Charles Brackett;Comedy;$1,752,000 ;United States;782;1950;1h 50m;;;;
Örümcek Adam: Örümcek Evreninde;8,04;717000;Bob Persichetti;Phil Lord;Animation;$90,000,000 ;Canada;2.200;2018;1h 57m;;;;
Zafer Yolları;8,04;224000;Stanley Kubrick;Stanley Kubrick;Epic;$935,000 ;United States;564;1957;1h 28m;;;;
Beklenmeyen Şahit;8,04;148000;Billy Wilder;Agatha Christie;Drama;$3,000,000 ;United States;394;1957;1h 56m;;;;
Cinnet;8,04;1200000;Stanley Kubrick;Stephen King;Comedy;$19,000,000 ;United Kingdom;2.300;1980;2h 26m;;;;
Şarlo Diktatör;8,04;247000;Charles Chaplin;Charles Chaplin;Parody;$2,000,000 ;United States;351;1940;2h 5m;;;;
Bitmeyen Sınav;8,04;143000;Vidhu Vinod Chopra;Vidhu Vinod Chopra;Drama;Bilinmiyor;India;986;2023;2h 27m;;;;
Yaratık 2: Yaratığın Dönüşü;7,04;802000;James Cameron;James Cameron;Alien Invasion;$18,500,000 ;United Kingdom;1.600;1986;2h 17m;;;;
Soysuzlar Çetesi;8,04;1700000;Quentin Tarantino;Quentin Tarantino;Comedy;$70,000,000 ;United States;2.200;2009;2h 33m;;;;
Kara Şövalye Yükseliyor;8,04;1900000;Christopher Nolan;Jonathan Nolan;Epic;$250,000,000 ;United States;4000;2012;2h 44m;;;;
Coco;8,04;638000;Lee Unkrich;Lee Unkrich;Animation;$175,000,000 ;United States;1.400;2017;1h 45m;;;;
Amadeus;8,04;444000;Milos Forman;Peter Shaffer;Drama;$18,000,000 ;United States;785;1984;2h 40m;;;;
Oyuncak Hikayesi;8,03;1100000;John Lasseter;John Lasseter;Comedy;$30,000,000 ;United States;818;1995;1h 21m;;;;
Yenilmezler: Son Oyun;8,04;1300000;Anthony Russo;Christopher Markus;Sci-Fi;$356,000,000 ;United States;9.600;2019;3h 1m;;;;
İhtiyar Delikanlı;8,03;669000;Park Chan-wook;Garon Tsuchiya;Comedy;$3,000,000 ;South Korea;1.300;2003;2h;;;;
Garip Doktor;8,03;534000;Stanley Kubrick;Stanley Kubrick;Comedy;$1,800,000 ;United Kingdom;1.000;1964;1h 35m;;;;
Can Dostum;8,03;1100000;Gus Van Sant;Matt Damon;Coming-of-Age;$10,000,000 ;United States;1.100;1997;2h 6m;;;;
Amerikan Güzeli;8,03;1200000;Sam Mendes;Alan Ball;Drama;$15,000,000 ;United States;3.100;1999;2h 2m;;;;
U-Bot: Denizaltı;8,04;277000;Wolfgang Petersen;Wolfgang Petersen;Epic;DEM 32,000,000 ;West Germany;611;1981;2h 29m;;;;
Cesur Yürek;8,03;1100000;Mel Gibson;Randall Wallace;Drama;$72,000,000 ;United States;1.500;1995;2h 58m;;;;
Prenses Mononoke;8,03;454000;Hayao Miyazaki;Hayao Miyazaki;Epic;¥2,400,000,000 ;Japan;860;1997;2h 13m;;;;
Senin Adın;8,04;348000;Makoto Shinkai;Makoto Shinkai;Anime;¥370,000,000 ;Japan;1000;2016;1h 46m;;;;
Yüksek ve Alçak;8,04;58000;Akira Kurosawa;Hideo Oguni;Police Procedural;¥230,000,000 ;Japan;180;1963;2h 23m;;;;
3 Ahmak;8,04;453000;Rajkumar Hirani;Abhijat Joshi;Coming-of-Age;₹550,000,000 ;India;1000;2009;2h 50m;;;;
Joker;8,03;1600000;Todd Phillips;Todd Phillips;Drama;$55,000,000 ;United States;11.600;2019;2h 2m;;;;
Bir Zamanlar Amerika;8,03;391000;Sergio Leone;Harry Grey;Comedy;$30,000,000 ;Italy;891;1984;3h 49m;;;;
Yağmur Altında;8,03;270000;Stanley Donen;Betty Comden;Classic Musical;$2,540,800 ;United States;842;1952;1h 43m;;;;
Kefernahum;8,04;114000;Nadine Labaki;Nadine Labaki;Drama;$4,000,000 ;Lebanon;518;2018;2h 6m;;;;
Gel ve Gör;8,03;109000;Elem Klimov;Ales Adamovich;Epic;Bilinmiyor;Soviet Union;705;1985;2h 22m;;;;
Bir Rüya İçin Ağıt;8,03;930000;Darren Aronofsky;Hubert Selby Jr.;Drama;$4,500,000 ;United States;2.500;2000;1h 42m;;;;
Oyuncak Hikayesi 3;8,03;923000;Lee Unkrich;John Lasseter;Animation;$200,000,000 ;United States;1000;2010;1h 43m;;;;
Yıldız Savaşları: Jedi'nin Dönüşü;8,03;1200000;Richard Marquand;Lawrence Kasdan;Epic;$32,500,000 ;United States;1000;1983;2h 11m;;;;
Onur Savaşı;8,03;383000;Thomas Vinterberg;Thomas Vinterberg;Drama;DKK 20,000,000 ;Denmark;614;2012;1h 55m;;;;
Sil Baştan;8,03;1100000;Michel Gondry;Charlie Kaufman;Romance;$20,000,000 ;United States;2.100;2004;1h 48m;;;;
Yaşamak;8,03;95000;Akira Kurosawa;Akira Kurosawa;Drama;Bilinmiyor;Japan;302;1952;2h 23m;;;;
2001: Uzay Yolu Macerası;8,03;746000;Stanley Kubrick;Stanley Kubrick;Epic;$12,000,000 ;United Kingdom;2.700;1968;2h 29m;;;;
Rezervuar Köpekleri;8,03;1100000;Quentin Tarantino;Quentin Tarantino;Gangster;$1,200,000 ;United States;1.400;1992;1h 39m;;;;
Garsoniyer;8,03;206000;Billy Wilder;Billy Wilder;Farce;$3,000,000 ;United States;460;1960;2h 5m;;;;
Lawrence of Arabia;8,03;326000;David Lean;Robert Bolt;Epic;$15,000,000 ;United Kingdom;816;1962;3h 47m;;;;
İçimdeki Yangın;8,03;222000;Denis Villeneuve;Wajdi Mouawad;Suspense Mystery;$6,800,000 ;Canada;407;2010;2h 11m;;;;
Yaralı Yüz;8,03;953000;Brian De Palma;Oliver Stone;Crime;$50,000,000 ;United States;1.300;1983;2h 50m;;;;
Çifte Tazminat;8,03;173000;Billy Wilder;Billy Wilder;Film Noir;$927,262 ;United States;502;1944;1h 47m;;;;
Gizli Teşkilât;8,03;358000;Alfred Hitchcock;Ernest Lehman;Spy;$3,101,000 ;United States;781;1959;2h 16m;;;;
Büyük Hesaplaşma;8,03;747000;Michael Mann;Michael Mann;Epic;$60,000,000 ;United States;1.400;1995;2h 50m;;;;
Yurttaş Kane;8,03;478000;Orson Welles;Herman J. Mankiewicz;Epic;$839,727 ;United States;1.700;1941;1h 59m;;;;
Bir Şehir Katilini Arıyor;8,03;175000;Fritz Lang;Thea von Harbou;Thriller;Bilinmiyor;Germany;456;1931;1h 57m;;;;
Yukarı Bak;8,03;1200000;Pete Docter;Pete Docter;Coming-of-Age;$175,000,000 ;United States;1.100;2009;1h 36m;;;;
Full Metal Jacket;8,03;815000;Stanley Kubrick;Stanley Kubrick;Comedy;$30,000,000 ;United Kingdom;1000;1987;1h 56m;;;;
